C/A,Unit,SCP,Station,Line Name,Division,Date,Time,Description,Entries,Exits                                                     
A002,R051,02-00-00,59 ST,NQR456W,BMT,11/30/2017,19:00:00,REGULAR,6425891,2174521
A002,R051,02-00-00,59 ST,NQR456W,BMT,11/30/2017,15:00:00,REGULAR,6425087,2174436
A002,R051,02-00-00,59 ST,NQR456W,BMT,11/30/2017,11:00:00,REGULAR,6424873,2174351
A002,R051,02-00-00,59 ST,NQR456W,BMT,11/30/2017,07:00:00,REGULAR,6424741,2174029
A002,R051,02-00-00,59 ST,NQR456W,BMT,11/30/2017,03:00:00,REGULAR,6424735,2173990
A002,R051,02-00-00,59 ST,NQR456W,BMT,11/29/2017,23:00:00,REGULAR,6424702,2173982
A002,R051,02-00-00,59 ST,NQR456W,BMT,11/29/2017,19:00:00,REGULAR,6424386,2173948
A002,R051,02-00-00,59 ST,NQR456W,BMT,11/29/2017,15:00:00,REGULAR,6423559,2173879
A002,R051,02-00-00,59 ST,NQR456W,BMT,11/29/2017,11:00:00,REGULAR,6423362,2173786
A002,R051,02-00-00,59 ST,NQR456W,BMT,11/29/2017,07:00:00,REGULAR,6423217,2173473
A002,R051,02-00-00,59 ST,NQR456W,BMT,11/29/2017,03:00:00,REGULAR,6423202,2173425
A002,R051,02-00-00,59 ST,NQR456W,BMT,11/28/2017,23:00:00,REGULAR,6423173,2173420
A002,R051,02-00-00,59 ST,NQR456W,BMT,11/28/2017,19:00:00,REGULAR,6422897,2173388
A002,R051,02-00-00,59 ST,NQR456W,BMT,11/28/2017,15:00:00,REGULAR,6422097,2173283
A002,R051,02-00-00,59 ST,NQR456W,BMT,11/28/2017,11:00:00,REGULAR,6421891,2173197
A002,R051,02-00-00,59 ST,NQR456W,BMT,11/28/2017,07:00:00,REGULAR,6421722,2172879
A002,R051,02-00-00,59 ST,NQR456W,BMT,11/28/2017,03:00:00,REGULAR,6421707,2172840
A002,R051,02-00-00,59 ST,NQR456W,BMT,11/27/2017,23:00:00,REGULAR,6421667,2172834
A002,R051,02-00-00,59 ST,NQR456W,BMT,11/27/2017,19:00:00,REGULAR,6421401,2172793
A002,R051,02-00-00,59 ST,NQR456W,BMT,11/27/2017,15:00:00,REGULAR,6420589,2172709
A002,R051,02-00-00,59 ST,NQR456W,BMT,11/27/2017,11:00:00,REGULAR,6420390,2172630
A002,R051,02-00-00,59 ST,NQR456W,BMT,11/27/2017,07:00:00,REGULAR,6420247,2172325
A002,R051,02-00-00,59 ST,NQR456W,BMT,11/27/2017,03:00:00,REGULAR,6420234,2172277
A002,R051,02-00-00,59 ST,NQR456W,BMT,11/26/2017,23:00:00,REGULAR,6420205,2172274
A002,R051,02-00-00,59 ST,NQR456W,BMT,11/26/2017,19:00:00,REGULAR,6420085,2172250
A002,R051,02-00-00,59 ST,NQR456W,BMT,11/26/2017,15:00:00,REGULAR,6419897,2172189
A002,R051,02-00-00,59 ST,NQR456W,BMT,11/26/2017,11:00:00,REGULAR,6419752,2172131
A002,R051,02-00-00,59 ST,NQR456W,BMT,11/26/2017,07:00:00,REGULAR,6419707,2172077
A002,R051,02-00-00,59 ST,NQR456W,BMT,11/26/2017,03:00:00,REGULAR,6419695,2172067
A002,R051,02-00-00,59 ST,NQR456W,BMT,11/25/2017,23:00:00,REGULAR,6419666,2172056
A002,R051,02-00-00,59 ST,NQR456W,BMT,11/25/2017,19:00:00,REGULAR,6419478,2172011
A002,R051,02-00-00,59 ST,NQR456W,BMT,11/25/2017,15:00:00,REGULAR,6419204,2171962
A002,R051,02-00-00,59 ST,NQR456W,BMT,11/25/2017,11:00:00,REGULAR,6419051,2171911
A002,R051,02-00-00,59 ST,NQR456W,BMT,11/25/2017,07:00:00,REGULAR,6418985,2171833
A002,R051,02-00-00,59 ST,NQR456W,BMT,11/25/2017,03:00:00,REGULAR,6418978,2171818
A002,R051,02-00-00,59 ST,NQR456W,BMT,11/24/2017,23:00:00,REGULAR,6418947,2171814
A002,R051,02-00-00,59 ST,NQR456W,BMT,11/24/2017,19:00:00,REGULAR,6418718,2171785
A002,R051,02-00-00,59 ST,NQR456W,BMT,11/24/2017,15:00:00,REGULAR,6418248,2171732
A002,R051,02-00-00,59 ST,NQR456W,BMT,11/24/2017,11:00:00,REGULAR,6418005,2171650
A002,R051,02-00-00,59 ST,NQR456W,BMT,11/24/2017,07:00:00,REGULAR,6417933,2171542
A002,R051,02-00-00,59 ST,NQR456W,BMT,11/24/2017,03:00:00,REGULAR,6417926,2171530
A002,R051,02-00-00,59 ST,NQR456W,BMT,11/23/2017,23:00:00,REGULAR,6417913,2171526
A002,R051,02-00-00,59 ST,NQR456W,BMT,11/23/2017,19:00:00,REGULAR,6417868,2171502
A002,R051,02-00-00,59 ST,NQR456W,BMT,11/23/2017,15:00:00,REGULAR,6417774,2171485
A002,R051,02-00-00,59 ST,NQR456W,BMT,11/23/2017,11:00:00,REGULAR,6417672,2171449
A002,R051,02-00-00,59 ST,NQR456W,BMT,11/23/2017,07:00:00,REGULAR,6417626,2171401
A002,R051,02-00-00,59 ST,NQR456W,BMT,11/23/2017,03:00:00,REGULAR,6417618,2171389
A002,R051,02-00-00,59 ST,NQR456W,BMT,11/22/2017,23:00:00,REGULAR,6417583,2171386
A002,R051,02-00-00,59 ST,NQR456W,BMT,11/22/2017,19:00:00,REGULAR,6417336,2171362
A002,R051,02-00-00,59 ST,NQR456W,BMT,11/22/2017,15:00:00,REGULAR,6416577,2171292
A002,R051,02-00-00,59 ST,NQR456W,BMT,11/22/2017,11:00:00,REGULAR,6416226,2171218
A002,R051,02-00-00,59 ST,NQR456W,BMT,11/22/2017,07:00:00,REGULAR,6416130,2170935
A002,R051,02-00-00,59 ST,NQR456W,BMT,11/22/2017,03:00:00,REGULAR,6416118,2170902
A002,R051,02-00-00,59 ST,NQR456W,BMT,11/21/2017,23:00:00,REGULAR,6416081,2170894
A002,R051,02-00-00,59 ST,NQR456W,BMT,11/21/2017,19:00:00,REGULAR,6415780,2170858
A002,R051,02-00-00,59 ST,NQR456W,BMT,11/21/2017,15:00:00,REGULAR,6414964,2170789
A002,R051,02-00-00,59 ST,NQR456W,BMT,11/21/2017,11:00:00,REGULAR,6414709,2170708
A002,R051,02-00-00,59 ST,NQR456W,BMT,11/21/2017,07:00:00,REGULAR,6414575,2170390
